Laureate ID,Full Name,Gender,Birthdate/Date Founded,Country,Continent,Age/Years of Operation,Year Awarded,Date Awarded,Award Category,Awarded For
29,Karl Manne Georg Siegbahn,Male,1886-12-03,Sweden,Europe,38,1924,,Physics,for his discoveries and research in the field of X-ray spectroscopy
30,James Franck,Male,1882-08-26,Germany,Europe,43,1925,,Physics,for their discovery of the laws governing the impact of an electron upon an atom
31,Gustav Ludwig Hertz,Male,1887-07-22,Germany,Europe,38,1925,,Physics,for their discovery of the laws governing the impact of an electron upon an atom
32,Jean Baptiste Perrin,Male,1870-09-30,France,Europe,56,1926,,Physics,"for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium"
33,Arthur Holly Compton,Male,1892-09-10,USA,North America,35,1927,,Physics,for his discovery of the effect named after him
34,Charles Thomson Rees Wilson,Male,1869-02-14,Scotland,Europe,58,1927,,Physics,for his method of making the paths of electrically charged particles visible by condensation of vapour
35,Owen Willans Richardson,Male,1879-04-26,United Kingdom,Europe,49,1928,,Physics,for his work on the thermionic phenomenon and especially for the discovery of the law named after him
36,Prince Louis-Victor Pierre Raymond de Broglie,Male,1892-08-15,France,Europe,37,1929,,Physics,for his discovery of the wave nature of electrons
37,Sir Chandrasekhara Venkata Raman,Male,1888-11-07,India,Asia,42,1930,,Physics,for his work on the scattering of light and for the discovery of the effect named after him
38,Werner Karl Heisenberg,Male,1901-12-05,Germany,Europe,31,1932,,Physics,"for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen"
39,Erwin Schrödinger,Male,1887-08-12,Austria,Europe,46,1933,,Physics,for the discovery of new productive forms of atomic theory
40,Paul Adrien Maurice Dirac,Male,1902-08-08,United Kingdom,Europe,31,1933,,Physics,for the discovery of new productive forms of atomic theory
41,James Chadwick,Male,1891-10-20,United Kingdom,Europe,44,1935,,Physics,for the discovery of the neutron
42,Victor Franz Hess,Male,1883-06-24,Austria,Europe,53,1936,,Physics,for his discovery of cosmic radiation
43,Carl David Anderson,Male,1905-09-03,USA,North America,31,1936,,Physics,for his discovery of the positron
44,Clinton Joseph Davisson,Male,1881-10-22,USA,North America,56,1937,,Physics,for their experimental discovery of the diffraction of electrons by crystals
45,George Paget Thomson,Male,1892-05-03,United Kingdom,Europe,45,1937,,Physics,for their experimental discovery of the diffraction of electrons by crystals
46,Enrico Fermi,Male,1901-09-29,Italy,Europe,37,1938,,Physics,"for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons"
47,Ernest Orlando Lawrence,Male,1901-08-08,USA,North America,38,1939,,Physics,"for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements"
48,Otto Stern,Male,1888-02-17,Poland,Europe,55,1943,,Physics,for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton
49,Isidor Isaac Rabi,Male,1898-07-29,Poland,Europe,46,1944,,Physics,for his resonance method for recording the magnetic properties of atomic nuclei
50,Wolfgang Pauli,Male,1900-04-25,Austria,Europe,45,1945,,Physics,"for the discovery of the Exclusion Principle, also called the Pauli Principle"
51,Percy Williams Bridgman,Male,1882-04-21,USA,North America,64,1946,,Physics,"for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics"
52,Sir Edward Victor Appleton,Male,1892-09-06,United Kingdom,Europe,55,1947,,Physics,for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer
53,Patrick Maynard Stuart Blackett,Male,1897-11-18,United Kingdom,Europe,51,1948,,Physics,"for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation"
54,Hideki Yukawa,Male,1907-01-23,Japan,Asia,42,1949,,Physics,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces
55,Cecil Frank Powell,Male,1903-12-05,United Kingdom,Europe,47,1950,,Physics,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method
56,Sir John Douglas Cockcroft,Male,1897-05-27,United Kingdom,Europe,54,1951,,Physics,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles
57,Ernest Thomas Sinton Walton,Male,1903-10-06,Ireland,Europe,48,1951,,Physics,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles
58,Felix Bloch,Male,1905-10-23,Switzerland,Europe,47,1952,,Physics,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith
59,Edward Mills Purcell,Male,1912-08-30,USA,North America,40,1952,,Physics,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith
60,Frits Zernike,Male,1888-07-16,the Netherlands,Europe,65,1953,,Physics,"for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope"
61,Max Born,Male,1882-12-11,Poland,Europe,72,1954,,Physics,"for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction"
62,Walther Bothe,Male,1891-01-08,Germany,Europe,63,1954,,Physics,for the coincidence method and his discoveries made therewith
63,Willis Eugene Lamb,Male,1913-07-12,USA,North America,42,1955,1955-11-02,Physics,for his discoveries concerning the fine structure of the hydrogen spectrum
64,Polykarp Kusch,Male,1911-01-26,Germany,Europe,44,1955,1955-11-02,Physics,for his precision determination of the magnetic moment of the electron
65,William Bradford Shockley,Male,1910-02-13,United Kingdom,Europe,46,1956,,Physics,for their researches on semiconductors and their discovery of the transistor effect
66,John Bardeen,Male,1908-05-23,USA,North America,64,1972,,Physics,"for their jointly developed theory of superconductivity, usually called the BCS-theory"
66,John Bardeen,Male,1908-05-23,USA,North America,48,1956,,Physics,for their researches on semiconductors and their discovery of the transistor effect
67,Walter Houser Brattain,Male,1902-02-10,China,Asia,54,1956,,Physics,for their researches on semiconductors and their discovery of the transistor effect
68,Chen Ning Yang,Male,1922-09-22,China,Asia,35,1957,,Physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles
69,Tsung-Dao (T.D.) Lee,Male,1926-11-24,China,Asia,31,1957,,Physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles
70,Pavel Alekseyevich Cherenkov,Male,1904-07-28,Russia,Europe,54,1958,,Physics,for the discovery and the interpretation of the Cherenkov effect
71,Igor Yevgenyevich Tamm,Male,1895-07-08,Russia,Europe,63,1958,,Physics,for the discovery and the interpretation of the Cherenkov effect
72,Emilio Gino Segrè,Male,1905-02-01,Italy,Europe,54,1959,,Physics,for their discovery of the antiproton
73,Owen Chamberlain,Male,1920-07-10,USA,North America,39,1959,,Physics,for their discovery of the antiproton
74,Donald Arthur Glaser,Male,1926-09-21,USA,North America,34,1960,1960-11-03,Physics,for the invention of the bubble chamber
75,Robert Hofstadter,Male,1915-02-05,USA,North America,46,1961,,Physics,for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons
76,Rudolf Ludwig Mössbauer,Male,1929-01-31,Germany,Europe,32,1961,,Physics,for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name
77,Lev Davidovich Landau,Male,1908-01-22,Azerbaijan,Asia,54,1962,,Physics,"for his pioneering theories for condensed matter, especially liquid helium"
78,Eugene Paul Wigner,Male,1902-11-17,Hungary,Europe,61,1963,,Physics,"for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles"
79,Maria Goeppert Mayer,Female,1906-06-28,Poland,Europe,57,1963,,Physics,for their discoveries concerning nuclear shell structure
80,J. Hans D. Jensen,Male,1907-06-25,Germany,Europe,56,1963,,Physics,for their discoveries concerning nuclear shell structure
81,Charles Hard Townes,Male,1915-07-28,USA,North America,49,1964,,Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"
82,Nicolay Gennadiyevich Basov,Male,1922-12-14,Russia,Europe,42,1964,,Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"
83,Aleksandr Mikhailovich Prokhorov,Male,1916-07-11,Australia,Oceania,48,1964,,Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"
84,Sin-Itiro Tomonaga,Male,1906-03-31,Japan,Asia,59,1965,,Physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"
85,Julian Schwinger,Male,1918-02-12,USA,North America,47,1965,,Physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"
86,Richard P. Feynman,Male,1918-05-11,USA,North America,47,1965,,Physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"
87,Alfred Kastler,Male,1902-05-03,France,Europe,64,1966,,Physics,for the discovery and development of optical methods for studying Hertzian resonances in atoms
88,Hans Albrecht Bethe,Male,1906-07-02,France,Europe,61,1967,,Physics,"for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars"
89,Luis Walter Alvarez,Male,1911-06-13,USA,North America,57,1968,,Physics,"for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis"
90,Murray Gell-Mann,Male,1929-09-15,USA,North America,40,1969,,Physics,for his contributions and discoveries concerning the classification of elementary particles and their interactions
91,Hannes Olof Gösta Alfvén,Male,1908-05-30,Sweden,Europe,62,1970,1970-10-27,Physics,for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics
92,Louis Eugène Félix Néel,Male,1904-11-22,France,Europe,65,1970,1970-10-27,Physics,for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics
93,Dennis Gabor,Male,1900-06-05,Hungary,Europe,71,1971,,Physics,for his invention and development of the holographic method
95,Leon Neil Cooper,Male,1930-02-28,USA,North America,42,1972,,Physics,"for their jointly developed theory of superconductivity, usually called the BCS-theory"
96,John Robert Schrieffer,Male,1931-05-31,USA,North America,41,1972,,Physics,"for their jointly developed theory of superconductivity, usually called the BCS-theory"
97,Leo Esaki,Male,1925-03-12,Japan,Asia,48,1973,1973-10-23,Physics,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively"
98,Ivar Giaever,Male,1929-04-05,Norway,Europe,44,1973,1973-10-23,Physics,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively"
99,Brian David Josephson,Male,1940-01-04,United Kingdom,Europe,33,1973,1973-10-23,Physics,"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects"
100,Sir Martin Ryle,Male,1918-09-27,United Kingdom,Europe,56,1974,1974-10-15,Physics,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars"
101,Antony Hewish,Male,1924-05-11,United Kingdom,Europe,50,1974,1974-10-15,Physics,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars"
102,Aage Niels Bohr,Male,1922-06-19,Denmark,Europe,53,1975,1975-10-17,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection
103,Ben Roy Mottelson,Male,1926-07-09,USA,North America,49,1975,1975-10-17,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection
104,Leo James Rainwater,Male,1917-12-09,USA,North America,57,1975,1975-10-17,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection
105,Burton Richter,Male,1931-03-22,USA,North America,45,1976,1976-10-18,Physics,for their pioneering work in the discovery of a heavy elementary particle of a new kind
106,Samuel Chao Chung Ting,Male,1936-01-27,USA,North America,40,1976,1976-10-18,Physics,for their pioneering work in the discovery of a heavy elementary particle of a new kind
107,Philip Warren Anderson,Male,1923-12-13,USA,North America,53,1977,1977-10-11,Physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems
108,Sir Nevill Francis Mott,Male,1905-09-30,United Kingdom,Europe,72,1977,1977-10-11,Physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems
109,John Hasbrouck van Vleck,Male,1899-03-13,USA,North America,78,1977,1977-10-11,Physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems
110,Pyotr Leonidovich Kapitsa,Male,1894-07-09,Russia,Europe,84,1978,1978-10-17,Physics,for his basic inventions and discoveries in the area of low-temperature physics
111,Arno Allan Penzias,Male,1933-04-26,Germany,Europe,45,1978,1978-10-17,Physics,for their discovery of cosmic microwave background radiation
112,Robert Woodrow Wilson,Male,1936-01-10,USA,North America,42,1978,1978-10-17,Physics,for their discovery of cosmic microwave background radiation
113,Sheldon Lee Glashow,Male,1932-12-05,USA,North America,46,1979,1979-10-15,Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"
114,Abdus Salam,Male,1926-01-29,Pakistan,Asia,53,1979,1979-10-15,Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"
115,Steven Weinberg,Male,1933-05-03,USA,North America,46,1979,1979-10-15,Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"
116,James Watson Cronin,Male,1931-09-29,USA,North America,49,1980,1980-10-12,Physics,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons
117,Val Logsdon Fitch,Male,1923-03-10,USA,North America,57,1980,1980-10-12,Physics,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons
118,Nicolaas Bloembergen,Male,1920-03-11,the Netherlands,Europe,61,1981,1981-10-19,Physics,for their contribution to the development of laser spectroscopy
119,Arthur Leonard Schawlow,Male,1921-05-05,USA,North America,60,1981,1981-10-19,Physics,for their contribution to the development of laser spectroscopy
120,Kai M. Siegbahn,Male,1918-04-20,Sweden,Europe,63,1981,1981-10-19,Physics,for his contribution to the development of high-resolution electron spectroscopy
121,Kenneth G. Wilson,Male,1936-06-08,USA,North America,46,1982,1982-10-18,Physics,for his theory for critical phenomena in connection with phase transitions
122,Subramanyan Chandrasekhar,Male,1910-10-19,Pakistan,Asia,73,1983,1983-10-19,Physics,for his theoretical studies of the physical processes of importance to the structure and evolution of the stars
123,William Alfred Fowler,Male,1911-08-09,USA,North America,72,1983,1983-10-19,Physics,for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe
124,Carlo Rubbia,Male,1934-03-31,Italy,Europe,50,1984,1984-10-17,Physics,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"
125,Simon van der Meer,Male,1925-11-24,the Netherlands,Europe,58,1984,1984-10-17,Physics,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"
126,Klaus von Klitzing,Male,1943-06-28,Poland,Europe,42,1985,1985-10-16,Physics,for the discovery of the quantized Hall effect
127,Ernst Ruska,Male,1906-12-25,Germany,Europe,79,1986,1986-10-15,Physics,"for his fundamental work in electron optics, and for the design of the first electron microscope"
128,Gerd Binnig,Male,1947-07-20,Germany,Europe,39,1986,1986-10-15,Physics,for their design of the scanning tunneling microscope
129,Heinrich Rohrer,Male,1933-06-06,Switzerland,Europe,53,1986,1986-10-15,Physics,for their design of the scanning tunneling microscope
130,J. Georg Bednorz,Male,1950-05-16,Germany,Europe,37,1987,1987-10-14,Physics,for their important break-through in the discovery of superconductivity in ceramic materials
131,K. Alexander Müller,Male,1927-04-20,Switzerland,Europe,60,1987,1987-10-14,Physics,for their important break-through in the discovery of superconductivity in ceramic materials
132,Leon M. Lederman,Male,1922-07-15,USA,North America,66,1988,1988-10-19,Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
133,Melvin Schwartz,Male,1932-11-02,USA,North America,55,1988,1988-10-19,Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
134,Jack Steinberger,Male,1921-05-25,Germany,Europe,67,1988,1988-10-19,Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
135,Norman F. Ramsey,Male,1915-08-27,USA,North America,74,1989,1989-10-12,Physics,for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks
136,Hans G. Dehmelt,Male,1922-09-09,Germany,Europe,67,1989,1989-10-12,Physics,for the development of the ion trap technique
137,Wolfgang Paul,Male,1913-08-10,Germany,Europe,76,1989,1989-10-12,Physics,for the development of the ion trap technique
138,Jerome I. Friedman,Male,1930-03-28,USA,North America,60,1990,1990-10-17,Physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
139,Henry W. Kendall,Male,1926-12-09,USA,North America,63,1990,1990-10-17,Physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
140,Richard E. Taylor,Male,1929-11-02,Canada,North America,60,1990,1990-10-17,Physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
141,Pierre-Gilles de Gennes,Male,1932-10-24,France,Europe,58,1991,1991-10-16,Physics,"for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers"
142,Georges Charpak,Male,1924-08-01,Poland,Europe,68,1992,1992-10-14,Physics,"for his invention and development of particle detectors, in particular the multiwire proportional chamber"
143,Russell A. Hulse,Male,1950-11-28,USA,North America,42,1993,1993-10-13,Physics,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"
144,Joseph H. Taylor Jr.,Male,1941-03-29,USA,North America,52,1993,1993-10-13,Physics,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"
145,Bertram N. Brockhouse,Male,1918-07-15,Canada,North America,76,1994,1994-10-12,Physics,for the development of neutron spectroscopy
146,Clifford G. Shull,Male,1915-09-23,USA,North America,79,1994,1994-10-12,Physics,for the development of the neutron diffraction technique
147,Martin L. Perl,Male,1927-06-24,USA,North America,68,1995,1995-10-11,Physics,for the discovery of the tau lepton
148,Frederick Reines,Male,1918-03-16,USA,North America,77,1995,1995-10-11,Physics,for the detection of the neutrino
149,David M. Lee,Male,1931-01-20,USA,North America,65,1996,1996-10-09,Physics,for their discovery of superfluidity in helium-3
150,Douglas D. Osheroff,Male,1945-08-01,USA,North America,51,1996,1996-10-09,Physics,for their discovery of superfluidity in helium-3
151,Robert C. Richardson,Male,1937-06-26,USA,North America,59,1996,1996-10-09,Physics,for their discovery of superfluidity in helium-3
152,Steven Chu,Male,1948-02-28,USA,North America,49,1997,1997-10-15,Physics,for development of methods to cool and trap atoms with laser light
153,Claude Cohen-Tannoudji,Male,1933-04-01,Algeria,Africa,64,1997,1997-10-15,Physics,for development of methods to cool and trap atoms with laser light
154,William D. Phillips,Male,1948-11-05,USA,North America,48,1997,1997-10-15,Physics,for development of methods to cool and trap atoms with laser light
155,Robert B. Laughlin,Male,1950-11-01,USA,North America,47,1998,1998-10-13,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations
156,Horst L. Störmer,Male,1949-04-06,Germany,Europe,49,1998,1998-10-13,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations
157,Daniel C. Tsui,Male,1939-02-28,China,Asia,59,1998,1998-10-13,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations
158,Gerardus 't Hooft,Male,1946-07-05,the Netherlands,Europe,53,1999,1999-10-12,Physics,for elucidating the quantum structure of electroweak interactions in physics
159,Martinus J.G. Veltman,Male,1931-06-27,the Netherlands,Europe,68,1999,1999-10-12,Physics,for elucidating the quantum structure of electroweak interactions in physics
160,Jacobus Henricus van 't Hoff,Male,1852-08-30,the Netherlands,Europe,49,1901,,Chemistry,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions
161,Hermann Emil Fischer,Male,1852-10-09,Germany,Europe,50,1902,,Chemistry,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses
162,Svante August Arrhenius,Male,1859-02-19,Sweden,Europe,44,1903,,Chemistry,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation
163,Sir William Ramsay,Male,1852-10-02,Scotland,Europe,52,1904,,Chemistry,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system"
164,Johann Friedrich Wilhelm Adolf von Baeyer,Male,1835-10-31,Germany,Europe,70,1905,,Chemistry,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds"
165,Henri Moissan,Male,1852-09-28,France,Europe,54,1906,,Chemistry,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him"
166,Eduard Buchner,Male,1860-05-20,Germany,Europe,47,1907,,Chemistry,for his biochemical researches and his discovery of cell-free fermentation
167,Ernest Rutherford,Male,1871-08-30,New Zealand,Oceania,37,1908,,Chemistry,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances"
168,Wilhelm Ostwald,Male,1853-09-02,Latvia,Europe,56,1909,,Chemistry,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction
169,Otto Wallach,Male,1847-03-27,Russia,Europe,63,1910,,Chemistry,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds
172,Victor Grignard,Male,1871-05-06,France,Europe,41,1912,,Chemistry,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry"
173,Paul Sabatier,Male,1854-11-05,France,Europe,58,1912,,Chemistry,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years
174,Alfred Werner,Male,1866-12-12,France,Europe,47,1913,,Chemistry,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry
175,Theodore William Richards,Male,1868-01-31,USA,North America,47,1914,1915-11-11,Chemistry,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements
176,Richard Martin Willstätter,Male,1872-08-13,Germany,Europe,43,1915,1915-11-11,Chemistry,"for his researches on plant pigments, especially chlorophyll"
177,Fritz Haber,Male,1868-12-09,Poland,Europe,50,1918,,Chemistry,for the synthesis of ammonia from its elements
178,Walther Hermann Nernst,Male,1864-06-25,Germany,Europe,56,1920,,Chemistry,in recognition of his work in thermochemistry
179,Frederick Soddy,Male,1877-09-02,United Kingdom,Europe,44,1921,,Chemistry,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes"
180,Francis William Aston,Male,1877-09-01,United Kingdom,Europe,45,1922,,Chemistry,"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule"
181,Fritz Pregl,Male,1869-09-03,Slovenia,Europe,54,1923,,Chemistry,for his invention of the method of micro-analysis of organic substances
182,Richard Adolf Zsigmondy,Male,1865-04-01,Austria,Europe,60,1925,,Chemistry,"for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry"
183,The (Theodor) Svedberg,Male,1884-08-30,Sweden,Europe,42,1926,,Chemistry,for his work on disperse systems
